STATE,STATE_FIPS,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,BEGIN_LAT,BEGIN_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.35,-79.75,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Several trees reported down in the eastern part of Darlington County.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.19,-79.72,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Measured at Florence Automated Surface Observation Station.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,6.00K,34.63,-79.61,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,Three power poles snapped along Mt. Zion church road near Tatum.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.33,-79.41,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,A Bradford Pear tree with about a 20-inch trunk fell near Highway 917.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.42,-79.37,A quasi-linear convective system (QLCS) developed along a strong cold front which pushed through a very high shear (80 knots of effective bulk shear)/low CAPE (500-1000 J/kg MLCAPE) environment across  the area and the nearby coastal waters. A few discrete storms also developed ahead of the main line. A Wind Advisory was in effect for the entire area except for coastal counties where a High Wind Warning was in effect. A Storm Warning was in effect for our marine zones.,There were numerous reports of trees down in the Dillon area.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,34.48,-81.59,"A cold front and upper disturbance, combined with sufficient instability and shear, to  produce a few severe thunderstorms and tornadoes.",A tree was downed on Hwy 121 near Sulphur Springs Rd.  Time estimated.
SOUTH CAROLINA,45,2024,Tornado,0,0,0,0,NA,34.1614,-80.859,"A cold front and upper disturbance, combined with sufficient instability and shear, to  produce a few severe thunderstorms and tornadoes.","A National Weather Service storm survey team confirmed a brief EF-1 tornado, with|peak winds of 90 mph, in northeast Richland County near Pontiac. The tornado began|in a wooded area southwest of Kelly Mill Road and to the east of Bridge Creek where it|snapped and uprooted numerous softwood trees. It also snapped off the top of a power |pole and peeled back a portion of the tin roof of a shed. The tornado then crossed Kelly|Mill Road and continued northeast where it snapped and uprooted additional trees near|a home and then the tornado continued into an inaccessible wooded area. The last|visible damage appears to be a snapped tree at the end of Mazola Court.  The tornado|likely lifted before crossing Cherokee Blvd in Kershaw County."
SOUTH CAROLINA,45,2024,Tornado,0,0,0,0,NA,34.15,-81.72,"A cold front and upper disturbance, combined with sufficient instability and shear, to  produce a few severe thunderstorms and tornadoes.","After reviewing available data, a weak tornado has been determined to have briefly|touched down in far northern Saluda county on January 27. The tornado touched down|near Old Cherokee Trail before moving quickly northeast and causing limited tree damage|near Tostie Creek Road. The tornado then dissipated as it moved northeastward."
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.05,-82.03,"A frontal system impacted the western Carolinas, bringing widespread showers and a few thunderstorms to upstate South Carolina. One of the storms produced brief damaging wind gusts in Greenwood County.",Public reported several large tree limbs blown down just north of Kirksey.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.86,-81.67,A line of heavy rain showers and embedded thunderstorms moved across upstate South Carolina during the afternoon. Several of the storms produced locally damaging wind gusts.,"County comms reported multiple trees and some power lines blown down across the northern half of Union county, including on Gaffney Highway, Proctor Rd, Forest St, and Vaughn Rd in Jonesville, and on Keys Highway, Meansville Rd, Rice Ave, and Hawkins Rd in and near the city of Union. Additionally, the AWOS at the Union County Airport measured a wind gust of 58 mph."
SOUTH CAROLINA,45,2024,Hail,0,0,0,0,0.00K,34.2912,-80.6152,A slow moving cold front generated thunderstorms early in the morning of 3/27. One of these storms produced sub-severe hail.,Public reported slightly larger than dime-sized hail along Edinburgh Castle Ln in Camden.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,32.78,-79.97,"A large area of stratiform rain spread across the southeast South Carolina in the predawn hours ahead of a warm front lifting northward. Immediately along the warm front, embedded thunderstorms developed and brought a period of strong wind gusts and intense rainfall to the region. A large area of heavy rainfall, with amounts of 2-4 inches, occurred from around Beaufort up through the Charleston metro area. Locally higher amounts of up to 5 inches occurred in and around Charleston, with the heaviest rainfall rates occurring around and just after a 7.69 ft MLLW high tide at the Charleston Harbor tide gauge. The intense rainfall produced a few instances of flash flooding around Charleston, with lots of reports of minor flooding.","Several large windows were blown out at Hay Tire Pros on Wesley Drive. The strong wind gust also caused damage to the tile ceiling which partially collapsed in the interior of the building. Sheet metal from the roof of the building and two adjacent commercial buildings was ripped off and blown several hundred feet. Also, the top of a nearby power pole was snapped off."
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,5.00K,32.7945,-79.8566,"A large area of stratiform rain spread across the southeast South Carolina in the predawn hours ahead of a warm front lifting northward. Immediately along the warm front, embedded thunderstorms developed and brought a period of strong wind gusts and intense rainfall to the region. A large area of heavy rainfall, with amounts of 2-4 inches, occurred from around Beaufort up through the Charleston metro area. Locally higher amounts of up to 5 inches occurred in and around Charleston, with the heaviest rainfall rates occurring around and just after a 7.69 ft MLLW high tide at the Charleston Harbor tide gauge. The intense rainfall produced a few instances of flash flooding around Charleston, with lots of reports of minor flooding.",The public reported 1 to 2 inches of water entering a 1st floor apartment in Oyster Park Apartments along Rifle Range Road.
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,5.00K,32.7614,-79.8414,"A large area of stratiform rain spread across the southeast South Carolina in the predawn hours ahead of a warm front lifting northward. Immediately along the warm front, embedded thunderstorms developed and brought a period of strong wind gusts and intense rainfall to the region. A large area of heavy rainfall, with amounts of 2-4 inches, occurred from around Beaufort up through the Charleston metro area. Locally higher amounts of up to 5 inches occurred in and around Charleston, with the heaviest rainfall rates occurring around and just after a 7.69 ft MLLW high tide at the Charleston Harbor tide gauge. The intense rainfall produced a few instances of flash flooding around Charleston, with lots of reports of minor flooding.",The public reported several inches of water inside a business on Middle Street.
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,10.00K,32.7812,-79.9304,"A large area of stratiform rain spread across the southeast South Carolina in the predawn hours ahead of a warm front lifting northward. Immediately along the warm front, embedded thunderstorms developed and brought a period of strong wind gusts and intense rainfall to the region. A large area of heavy rainfall, with amounts of 2-4 inches, occurred from around Beaufort up through the Charleston metro area. Locally higher amounts of up to 5 inches occurred in and around Charleston, with the heaviest rainfall rates occurring around and just after a 7.69 ft MLLW high tide at the Charleston Harbor tide gauge. The intense rainfall produced a few instances of flash flooding around Charleston, with lots of reports of minor flooding.",An employee at the Gold Creations store in the Charleston City Market provided a picture showing a high water mark of 10 inches of inundation from inside the enclosed store building.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.834,-82.572,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.",Ham radio operator reported trees and power lines blown down on Lynn Circle at Oakvale Dr.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.818,-81.99,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Utility company and ham radio operator reported trees blown down, with some on power lines in the Moore and Roebuck area, including on Patricia Dr in Roebuck."
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.19,-82.16,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.",Utility company reported multiple trees and large limbs blown down on power lines across the city of Greenwood.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.84,-81.68,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.",Utility company reported trees blown down on power lines  in the Jonesville area.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,34.47,-81.88,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.",Public reported (via Social Media) trees blown down in the Clinton area.
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,50.00K,35.146,-81.763,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Multiple sources reported flash flooding developed across mainly northern Cherokee County after 3 to 5 inches of rain fell across the area in around 12 hours. Numerous roads were inundated due to stream flooding or poor drainage. Impacted streams included the Broad River near Blacksburg, which exceeded minor flood stage, indicating inundation of Little Hope Rd and River Rd. Emergency manager reported that more than two dozen roads were damaged or inundated throughout the county, including Mill Gin Rd in the northwest part of the county, which was flooded by Cherokee Creek. A number of water rescues occurred including a driver from a vehicle that was being swept away, and about 20 people who were evacuated from an apartment complex west of Blackburg."
SOUTH CAROLINA,45,2024,Flood,0,0,0,0,1.00K,35.064,-82.21,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Although heavy rain ended across Spartanburg County during the late afternoon, runoff from the earlier heavy rain resulted in continued elevated stream levels and inundation of some roads well into the evening hours. Flooding was especially persistent along the South Pacolet and its tributaries during this time."
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,0.00K,35.057,-82.363,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.",Ham radio operator reported trees and power lines blown down at Camp Creek Road and Camp Creek Road Ext.
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,50.00K,35.064,-82.21,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Ham radio operators and other sources reported flash flooding developed across northern and central Spartanburg County after around 4 inches of rain fell in around 12 hours. Impacts were mainly due to inundation of roads via small stream flooding or poor drainage. Impacts were especially noteworthy in and near the city of Spartanburg, where multiple vehicles were submerged in floodwater, including at S Irwin Ave Ext at Carolina Dr, S Church St Ext and Staley Dr, New Cut Rd at Caldwell Rd, and Willis Rd at Rossin Ln. Additionally, water from Holston Creek inundated Old Mill Rd near Campobello and Vines Creek overflowed onto  Bennetts Bridge Rd near Reidville."
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,10.00K,35.082,-82.542,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Emergency manager, public sources, and stream gauges reported flash flooding developed throughout Greenville County after around 4 inches of rain fell in around 12 hours. Numerous small streams overflowed their banks and inundated adjacent roads throughout the county, with roads and streets being especially impassable in the urban centers. Minor flooding developed along the Reedy River in downtown Greenville, flooding Hudson Street as well as inundating large portions of Unity Park and Cleveland Park and lower portions of Cancer Survivors Park."
SOUTH CAROLINA,45,2024,Flood,0,0,0,0,10.00K,34.848,-82.405,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Although heavy rain ended across Greenville County during the late afternoon, runoff from the earlier rainfall continued to result on elevated stream levels and inundation of some roads throughout central and southern Greenville County into the evening. This included the Reedy River basin, where minor flooding persisted between Greenville and Simpsonville. Some damage to boardwalks and bridges occurred in Conestee Nature Preserve."
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,1.00K,34.867,-82.788,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.",Stream gauges and Ham radio operator reported tributaries of Twelvemile Creek after 3 to 5 inches of rain fell across Pickens County in around 12 hours. Gregory Creek inundated Concord Church Rd and Whitmire Hill Rd was flooded by another tributary.
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,5.00K,34.68,-83.119,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Public reported (via Social Media) flash flooding developed across central Oconee County, particularly in the urban areas around Seneca and Westminster after 3 to 5 inches of rain fell in around 12 hours. Multiple roads were inundated and impassable due to a combination of small stream flooding and poor drainage."
SOUTH CAROLINA,45,2024,Flood,0,0,0,0,1.00K,34.701,-82.722,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Stream gauges and Ham radio operator reported flooding gradually developed along Eighteen Mile Creek and some of its tributaries after 3 to 5 inches of rain fell across the basin in around 12 hours. Portions of Central Rd, Bishop Branch Rd, and Highway 28 were inundated from overflowing streams."
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,1.00K,34.692,-82.177,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","A stream gauge on Durbin Creek on the Laurens County side of Fountain Inn indicated flash flooding developed along the stream after around 4 inches of rain fell over the basin on around 12 hours. Sullivan Rd was inundated by water from South Durbin Creek. Additionally, the public reported (via Social Media) that Reedy Fork overflowed its banks near Laurens, inundating Boyd Rd."
SOUTH CAROLINA,45,2024,Flash Flood,0,0,0,0,30.00K,34.882,-81.13,"A major/complex frontal system brought widespread rain with embedded thunderstorms to upstate South Carolina, mainly during the late morning and afternoon of the 9th. Widespread rainfall amounts of 3 to 5 inches (with locally higher amounts) in around 12 hours resulted in numerous reports of flooding. Isolated severe thunderstorms also resulted in a a few damaging wind gusts reports over the Piedmont.","Multiple sources reported flash flooding developed in the Rock Hill and Form Mill areas after 3 to 5 inches of rain fell in around 12 hours, with about half of that falling in just a couple of hours during the late morning and early afternoon. Multiple streams overflowed their banks and inundated roads and even some structures. Impacted streams included Wildcat Creek, which inundated Ogden Rd and McConnells Highway and Big Dutchman Creek, which flooded West Oak Dr and Mount Gallant Rd, and Stony Creek, which inundated Highway 324. Poor drainage flooding also resulted in a motorist becoming stranded at Celanese Rd and Museum Rd and water entering homes on Hamilton Forest Rd in Fort Mill and on Beachwood Cove Dr in Tega Cay."
SOUTH CAROLINA,45,2024,Tornado,1,0,0,0,NA,34.0518,-81.3548,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.","A National Weather Service storm survey team confirmed an EF-1, with peak winds of|90 mph, that crossed Lake Murray Tuesday afternoon. The tornado developed over|Shull Island and moved northeast across Lake Murray. The tornado then came ashore|at Indian Summer Point. The tornado damaged some tree tops at Shull Island before|moving quickly north-northeast, snapping and uprooting multiple trees along Westridge |Court up to Mallard Drive. The tornado then dissipated before reaching the intersection|of Johns Creek Road and Mallard Drive.||The most significant damage occurred in the Westridge Court area off of Wessinger|Road. The tornado uprooted a large pine tree that fell onto the roof of a home, injuring|one elderly person. This person was transported with minor injuries to the hospital|and later released. There were several large Cedar trees that were uprooted or|snapped in this area as well. Minor damage also occurred to a small barn with the roof|partially uplifted. Just before the tornado dissipated, it uprooted a large tree along|Mallard Drive."
SOUTH CAROLINA,45,2024,Tornado,0,0,0,0,1.80M,33.2729,-81.0435,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.","A National Weather storm survey team confirmed an EF2 tornado, with peak winds of|125 mph, in Bamberg SC. The tornado began 1.75 miles south of the City of Bamberg|along US Hwy 601, near Cry Baby Road.||Moving north, the tornado then proceeded to flip a mobile home and cause substantial|EF2 damage to a barrel plant at the intersection of US Hwy 601 and US Hwy 301. Door|and window failure contributed to the collapse of the middle section of the building|and partial collapse of the front section. The collapsed portions of the building were|tossed across Chevrolet St into a water tower.||The tornado continued north-northeast along US-301 causing widespread EF1 roof and|tree damage before moving into downtown Bamberg.||As the tornado entered downtown Bamberg, it strengthened to EF2 intensity and|caused substantial structural damage to a series of 2-3 story historic buildings just|south of the intersection of US Hwy 78 and US Hwy 301. The newer roof section of a|building on the west side of US Hwy 301 was thrown completely off onto the adjacent|structure. There was a complete collapse of the upper stories of two buildings on the|east side of US Hwy 301 with the corner torn off another. Preexisting missing portions|of the roof and gaps in the exterior wall of the former City Hall likely contributed to its|collapse due to wind intrusion. ||The tornado then moved north and quickly weakened as it crossed US Hwy 78 before|dissipating 0.4 miles north of downtown Bamberg along US Hwy 301.||The National Weather Service would like to thank wind engineers from the Insurance|Institute for Business and Home Safety for their expertise assisting with surveying|some of the structural damage."
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,34.6619,-80.2742,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.",RAWS gage at Carolina Sandhills NWR measured a peak wind gust of 57 mph.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,33.58,-82.05,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.",A tree was downed onto a power line on Stevens Creek Rd and Andrews Way.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,33.59,-81.96,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.","A report was received, via social media, of a 64 MPH wind gust measured at a home weather station near Murrah Rd and Copeland Cir near Murphys Estates.  This is an unofficial observation."
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,33.87,-82.38,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.",Trees were downed across the Savannah Lakes area in the vicinity of US Hwy 378 and SC Hwy 7.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,34.22,-81.41,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.",SCHP reported a tree in roadway at I-26 EB near the Hwy 202 exit.  Time estimated.
SOUTH CAROLINA,45,2024,Thunderstorm Wind,0,0,0,0,NA,34.21,-81.35,"Strong upper level and surface areas of low pressure moved NE into the Midwest, while a cold front along with a secondary weak low, formed and moved through the area.  Gradient wind gusts, along with enhanced wind gusts associated with severe thunderstorms and a strong low level jet, resulted in widespread tree damage.",Trees were downed at US Hwy 176 and Holy Trinity Church Rd. Time estimated.
